order_item_id,order_id,product_id,quantity,subtotal
1,4020,295,3,422.45
2,14631,33,2,187.52
3,31581,693,4,291.19
4,13951,274,1,126.86
5,1763,224,5,15.39
6,30941,873,5,455.52
7,40674,299,2,480.79
8,1848,84,1,220.45
9,7429,940,4,278.52
10,35653,642,5,249.94
11,28018,48,3,145.91
12,28803,749,3,363.71
13,35084,693,1,416.67
14,1685,731,5,426.24
15,6683,264,1,333.27
16,30791,59,3,130.53
17,31915,362,2,45.29
18,42125,789,3,376.95
19,38469,337,4,321.82
20,42251,888,5,480.67
21,4472,322,3,118.85
22,38412,933,4,65.15
23,23113,609,4,371.37
24,15091,518,2,119.96
25,33055,782,5,411.42
26,43093,312,3,342.36
27,34342,418,3,276.91
28,39225,334,5,288.28
29,6232,12,5,331.54
30,16931,388,3,22.06
31,18987,359,2,418.48
32,2295,33,2,15.08
33,3744,955,3,50.18
34,34941,486,5,282.57
35,26636,721,4,57.7
36,19407,600,2,84.66
37,1243,879,4,325.71
38,3231,989,4,319.21
39,17822,393,1,74.8
40,7832,531,2,420.98
41,7378,720,3,404.24
42,7409,130,4,147.82
43,49605,833,2,148.86
44,35659,244,2,319.73
45,403,69,1,299.71
46,38482,738,5,271.05
47,44008,462,2,481.75
48,42833,319,1,345.24
49,19556,414,2,246.77
50,32005,504,1,150.6
51,49536,462,4,209.07
52,47686,313,1,358.14
53,11787,672,1,214.0
54,7826,236,5,210.88
55,7050,319,5,382.57
56,20454,161,3,199.86
57,8307,161,4,362.87
58,4671,149,5,182.96
59,4412,843,1,392.75
60,10653,668,2,113.96
61,6822,965,1,269.48
62,4376,901,1,44.06
63,36543,421,1,310.32
64,23616,332,5,179.93
65,23661,885,4,203.43
66,35862,628,2,229.96
67,27102,462,5,331.01
68,18561,29,2,406.3
69,25957,693,2,481.28
70,5282,892,5,132.32
71,33279,468,5,463.35
72,28956,221,5,191.24
73,61,292,1,129.47
74,5611,448,1,182.57
75,10376,395,4,242.51
76,27069,444,5,104.38
77,29244,459,3,131.79
78,9289,383,2,50.66
79,35237,393,2,246.9
80,40703,897,4,199.75
81,21184,454,2,42.86
82,10734,448,5,330.72
83,41479,584,4,273.46
84,14749,807,4,46.02
85,37768,59,2,253.38
86,28998,601,5,420.45
87,12432,166,5,144.75
