order_id,customer_id,order_date,order_status,total_amount
1,4465,24-09-2023,Completed,180.04
2,8557,04-07-2023,Cancelled,80.2
3,1211,16-10-2023,Cancelled,551.37
4,8110,02-08-2023,Pending,180.84
5,779,22-04-2023,Pending,796.24
6,44,26-03-2023,Pending,501.8
7,5231,12-06-2023,Completed,88.11
8,2516,17-07-2023,Pending,899.25
9,7759,18-01-2023,Cancelled,277.51
10,6158,17-10-2023,Pending,283.92
11,332,13-05-2023,Cancelled,344.53
12,6946,17-04-2023,Completed,125.9
13,825,07-03-2023,Cancelled,597.34
14,8514,22-10-2023,Cancelled,999.93
15,5700,20-07-2023,Pending,512.09
16,6015,24-12-2023,Cancelled,432.9
17,5039,24-09-2023,Completed,559.33
18,5683,17-01-2023,Pending,99.69
19,51,03-05-2023,Pending,357.94
20,4440,04-12-2023,Completed,457.74
21,5364,21-03-2023,Cancelled,425.61
22,7619,08-12-2023,Completed,839.03
23,8960,26-08-2023,Pending,185.41
24,4672,23-06-2023,Cancelled,435.19
25,5144,21-03-2023,Cancelled,45.79
26,1457,21-07-2023,Pending,599.05
27,199,28-04-2023,Completed,213.71
28,2503,19-04-2023,Pending,122.97
29,5328,19-02-2023,Completed,32.2
30,619,13-04-2023,Completed,486.4
31,578,27-02-2023,Cancelled,989.56
32,7707,09-07-2023,Pending,108.89
33,9192,05-01-2023,Cancelled,875.53
34,9888,31-12-2023,Completed,79.39
35,4245,19-06-2023,Completed,566.85
36,6367,11-02-2023,Cancelled,707
37,8472,12-08-2023,Completed,679.87
38,802,21-07-2023,Completed,214.14
39,4754,02-04-2023,Cancelled,545.19
40,2322,06-11-2023,Cancelled,980.3
41,1021,10-05-2023,Completed,230.48
42,5711,25-07-2023,Cancelled,842.41
43,1052,21-02-2023,Pending,947.35
44,2927,28-12-2023,Completed,752.71
45,2797,13-08-2023,Completed,974.19
46,7548,17-06-2023,Completed,150.83
47,9796,21-08-2023,Cancelled,676.73
48,4341,18-01-2023,Pending,673.06
49,2698,28-07-2023,Completed,743.3
50,5185,19-03-2023,Completed,182.2
51,714,01-04-2023,Cancelled,368.87
52,3461,10-07-2023,Pending,64.88
53,9363,29-08-2023,Cancelled,67.99
54,4276,06-12-2023,Cancelled,289.14
55,7609,08-03-2023,Pending,736.22
56,5201,21-10-2023,Pending,640.3
57,1967,23-05-2023,Cancelled,721.95
58,7721,12-07-2023,Completed,670.13
59,5800,05-05-2023,Pending,981.98
60,1436,30-12-2023,Completed,545.46
61,6040,21-11-2023,Cancelled,652.44
62,9193,20-04-2023,Completed,994.16
63,2962,03-08-2023,Completed,395.1
64,2839,13-05-2023,Pending,227.45
65,605,29-05-2023,Cancelled,878.81
66,8264,10-04-2023,Pending,281.33
67,7905,22-11-2023,Completed,977.15
68,3704,12-12-2023,Pending,384.82
69,1925,29-11-2023,Completed,914.12
70,1837,12-09-2023,Completed,393.44
71,4611,02-07-2023,Pending,820.29
72,2753,17-12-2023,Cancelled,372.08
73,4128,22-03-2023,Completed,88.38
74,958,04-03-2023,Completed,358.7
75,9052,30-01-2023,Completed,827.47
76,2733,24-03-2023,Pending,646.02
77,228,19-11-2023,Cancelled,291.09
78,129,05-10-2023,Cancelled,296.12
79,4354,03-09-2023,Completed,955.57
80,2897,25-07-2023,Completed,945.21
81,9682,18-12-2023,Pending,304.08
82,5525,13-12-2023,Cancelled,440.82
83,3994,20-03-2023,Completed,730.41
84,506,22-04-2023,Completed,651.89
85,7780,16-07-2023,Completed,27.03
86,823,16-07-2023,Pending,641.94
87,8972,08-02-2023,Completed,918.99
88,2205,22-10-2023,Completed,242.58
89,5521,05-08-2023,Pending,847.62
90,7216,12-01-2023,Cancelled,103.1
91,34,01-04-2023,Cancelled,521.27
92,2234,04-04-2023,Cancelled,800.02
93,4972,09-08-2023,Completed,332.19
94,4850,10-04-2023,Completed,80.61
95,856,03-10-2023,Pending,625.56
96,6480,11-02-2023,Pending,716.68
97,1760,27-03-2023,Completed,320.18
98,3067,04-04-2023,Completed,702.69
99,1358,07-12-2023,Pending,612.55
100,2461,25-04-2023,Pending,63.35
101,5354,28-05-2023,Cancelled,707.17
102,836,27-04-2023,Cancelled,939.7
103,8865,05-10-2023,Pending,687.39
104,9751,02-08-2023,Pending,863.07
105,1513,24-10-2023,Pending,927.05
106,5014,22-09-2023,Pending,334.97
107,3540,27-07-2023,Completed,75.76
108,6949,02-08-2023,Cancelled,240.26
109,4422,11-03-2023,Cancelled,393.62
110,5638,31-12-2023,Cancelled,654
111,3383,16-06-2023,Pending,627.46
112,1243,14-10-2023,Completed,866.38
113,4500,25-03-2023,Pending,760.46
114,5957,13-03-2023,Pending,242.64
115,2573,03-04-2023,Cancelled,63.14
