payment_id,order_id,payment_method,payment_status
1,1,PayPal,Pending
2,2,Debit Card,Pending
3,3,PayPal,Success
4,4,Debit Card,Failed
5,5,Debit Card,Pending
6,6,Net Banking,Pending
7,7,Credit Card,Pending
8,8,Net Banking,Failed
9,9,Debit Card,Failed
10,10,PayPal,Success
11,11,Debit Card,Pending
12,12,Debit Card,Failed
13,13,Credit Card,Success
14,14,Net Banking,Success
15,15,Credit Card,Pending
16,16,Net Banking,Failed
17,17,Debit Card,Success
18,18,Debit Card,Success
19,19,PayPal,Pending
20,20,Net Banking,Pending
21,21,Credit Card,Failed
22,22,Net Banking,Failed
23,23,Debit Card,Pending
24,24,PayPal,Success
25,25,Credit Card,Pending
26,26,Net Banking,Success
27,27,Debit Card,Success
28,28,Net Banking,Success
29,29,PayPal,Success
30,30,Debit Card,Pending
31,31,Debit Card,Failed
32,32,Debit Card,Failed
33,33,Debit Card,Failed
34,34,Credit Card,Failed
35,35,Debit Card,Failed
36,36,Credit Card,Failed
37,37,Credit Card,Failed
38,38,Credit Card,Failed
39,39,PayPal,Success
40,40,Credit Card,Failed
41,41,Debit Card,Failed
42,42,Credit Card,Pending
43,43,Debit Card,Failed
44,44,Debit Card,Failed
45,45,Debit Card,Success
46,46,Debit Card,Pending
47,47,Credit Card,Success
48,48,Net Banking,Pending
49,49,PayPal,Failed
50,50,Debit Card,Pending
51,51,Net Banking,Failed
52,52,Credit Card,Success
53,53,PayPal,Success
54,54,Debit Card,Success
55,55,Net Banking,Failed
56,56,PayPal,Failed
57,57,PayPal,Failed
58,58,PayPal,Failed
59,59,Debit Card,Success
60,60,Debit Card,Failed
61,61,Credit Card,Success
62,62,Debit Card,Success
63,63,Debit Card,Pending
64,64,Credit Card,Success
65,65,PayPal,Pending
66,66,Credit Card,Failed
67,67,Credit Card,Success
68,68,Credit Card,Pending
69,69,PayPal,Failed
70,70,Net Banking,Success
71,71,Net Banking,Failed
72,72,Credit Card,Pending
73,73,Net Banking,Pending
74,74,PayPal,Success
75,75,Credit Card,Failed
76,76,Net Banking,Pending
77,77,Credit Card,Pending
78,78,Debit Card,Pending
79,79,Net Banking,Success
80,80,Credit Card,Failed
81,81,PayPal,Success
82,82,Credit Card,Pending
83,83,Net Banking,Failed
84,84,Credit Card,Success
85,85,PayPal,Success
86,86,Debit Card,Success
87,87,Credit Card,Success
88,88,PayPal,Success
89,89,PayPal,Pending
90,90,Debit Card,Success
91,91,Debit Card,Success
92,92,PayPal,Pending
93,93,Credit Card,Failed
94,94,Net Banking,Success
95,95,Net Banking,Pending
96,96,Credit Card,Failed
97,97,Net Banking,Failed
98,98,Net Banking,Pending
99,99,Credit Card,Failed
100,100,PayPal,Success
101,101,Net Banking,Success
102,102,Credit Card,Failed
103,103,Debit Card,Pending
104,104,Net Banking,Failed
105,105,PayPal,Pending
106,106,Credit Card,Pending
107,107,Debit Card,Failed
108,108,PayPal,Success
109,109,Debit Card,Success
110,110,Credit Card,Success
111,111,PayPal,Success
112,112,Net Banking,Success
113,113,Debit Card,Failed
114,114,Net Banking,Pending
115,115,Net Banking,Success
116,116,Credit Card,Success
117,117,Net Banking,Pending
118,118,PayPal,Pending
119,119,Credit Card,Failed
120,120,Net Banking,Pending
121,121,PayPal,Failed
122,122,Net Banking,Failed
123,123,PayPal,Pending
124,124,Net Banking,Failed
125,125,Net Banking,Success
126,126,Credit Card,Success
127,127,Net Banking,Failed
128,128,Debit Card,Success
129,129,Net Banking,Success
130,130,PayPal,Pending
131,131,PayPal,Success
132,132,Debit Card,Success
133,133,Credit Card,Pending
134,134,Net Banking,Pending
135,135,PayPal,Pending
136,136,Net Banking,Failed
137,137,Debit Card,Failed
138,138,Debit Card,Failed
139,139,PayPal,Success
140,140,Credit Card,Failed
141,141,Debit Card,Pending
142,142,Debit Card,Success
143,143,Credit Card,Success
144,144,Net Banking,Failed
145,145,Debit Card,Failed
146,146,Debit Card,Failed
147,147,PayPal,Failed
148,148,PayPal,Pending
149,149,Net Banking,Success
150,150,Debit Card,Failed
151,151,PayPal,Failed
152,152,Net Banking,Pending
153,153,Credit Card,Pending
154,154,Credit Card,Pending
155,155,Debit Card,Failed
156,156,Net Banking,Failed
157,157,Debit Card,Failed
158,158,Debit Card,Success
159,159,PayPal,Success
160,160,Net Banking,Failed
161,161,Net Banking,Failed
162,162,PayPal,Pending
163,163,PayPal,Failed
164,164,PayPal,Failed
165,165,PayPal,Pending
166,166,Credit Card,Pending
167,167,PayPal,Success
168,168,Credit Card,Success
169,169,Net Banking,Success
170,170,Net Banking,Pending
171,171,PayPal,Failed
172,172,Credit Card,Success
173,173,Net Banking,Pending
174,174,Credit Card,Pending
175,175,Credit Card,Success
176,176,Net Banking,Pending
177,177,Credit Card,Failed
178,178,Credit Card,Pending
179,179,Debit Card,Success
180,180,Credit Card,Pending
181,181,Net Banking,Pending
182,182,Net Banking,Failed
183,183,Credit Card,Success
184,184,PayPal,Failed
185,185,Credit Card,Pending
186,186,Net Banking,Failed
187,187,Debit Card,Success
188,188,Credit Card,Pending
